Brand,Store Name,Address,Latitude,Longitude
CU,CU Mid Valley,"Ground Floor, North Entrance, Mid Valley City, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1193065,101.6775605
CU,CU,"76, Jalan SS 15/4, Ss 15, 47500 Subang Jaya, Selangor",3.0757606,101.588949
CU,CU Centrepoint Bandar Utama.,"G03 & G03A, Ground Floor, Centrepoint, 3, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",3.1381318,101.610267
CU,CU,"No. 127 (G Floor, Jalan Sutera Tanjung 8/2, Taman Sutera Utama, 81200 Skudai, Johor Darul Ta'zim",1.5151008,103.6697438
CU,CU Bukit Tinggi Klang,"No.62-0, Lorong Batu Nilam 4b, Bandar Bukit Tinggi 1, 41200 Klang, Selangor",3.0071637,101.4357124
CU,CU Rohas KLCC,"11, Jalan P. Ramlee, City Centre, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1552152,101.7090279
CU,CU Sunway Giza,"Sunway Giza, Jalan PJU 5/14, Kota Damansara, 47810 Petaling Jaya, Selangor",3.1509566,101.5917077
CU,CU Bandar Damai Perdana,"20, Jalan Damai Perdana 1/9a, Bandar Damai Perdana, 43200 Kuala Lumpur, Selangor",3.0458884,101.7392721
CU,CU Mart Taman Perling,"No. 18-G, Jalan Persiaran Perling 1, Taman Perling, 81200 Johor Bahru, Johor",1.4821153,103.6848805
CU,CU Solaris,"No. 20-G, Jalan Solaris 4, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1757021,101.6597088
CU,CU Kuala Ketil,"108 & 109, PERSIARAN KKCC 2, COMMERCIAL CENTRE, 09300 Kuala Ketil, Kedah",5.605160199999999,100.640581
CU,CU Bandar Baru Uda JB,"8 & 10, Jalan Padi Emas 6/1, Bandar Baru Uda, 81200 Johor Bahru, Johor Darul Ta'zim",1.4999093,103.7082988
CU,CU Mart,"Lot B1-061 & 062, Level B1, MyTOWN Shopping Centre, 6, Jalan Cochrane, Seksyen 90, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1348713,101.722742
CU,CU Mart @ Ampang Point,"28 (GF, Jalan Memanda 7, Taman Dato Ahmad Razali, 50450 Ampang, Selangor",3.1588457,101.7501237
CU,CU Mart,"10, Jln KLJ 4, Taman Kota Laksamana, 75350 Malacca",2.1981852,102.2319586
CU,CU City Junction,"2-1-3, City Junction, 2, Persiaran Lengkuas, Kampung Belachan, 10470 Tanjung Tokong, Penang",5.449336499999999,100.3049889
CU,CU Subang Perdana Shah Alam,"LOT, 27-G, Jalan Dinar G U3/G, Taman Subang Perdana, 40150 Shah Alam, Selangor",3.1488253,101.5444129
CU,CU Mart Wangsa Maju,"6, Jalan Wangsa Delima 11, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1968404,101.7417395
CU,CU @ IOI City Mall Putrajaya,"City, Lot GE-16, Ground Floor IOI City Mall, Lbh IRC, Ioi Resort, 62502 Putrajaya",2.969381,101.7135903
CU,CU Mart 5071,"B-G-31, Presint 1, Cameron Centrum, 39100 Brinchang, Pahang",4.495039999999999,101.3893898
CU,CU Mart Cottage Walk Cyberjaya,"Off, Persiaran APEC, Cottage Walk, 63000 Cyberjaya, Selangor",2.920395,101.6591236
CU,CU @ Plaza Arkadia,"F-G-10, Plaza Arkadia, 3, Jalan Intisari, Desa Parkcity, 52200 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1866474,101.6362488
CU,CU Bukit Sentosa Rawang,"15-G, Jalan Orkid 1f/1, Bandar Bukit Beruntung, 48300 Rawang, Selangor",3.4034404,101.5597376
CU,CU Trader Cheras,"98-G, Jalan Dataran Cheras 5, DATARAN PERNIAGAAN CHERAS, 43200 Cheras, Selangor",3.0359227,101.7643762
CU,CU Teluk Intan,"53(GF, Jalan Intan 4, Bandar Baru Teluk Intan, 36000 Teluk Intan, Perak",4.020098,101.0228651
CU,CU,"180, Jalan Kenanga 29/4, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim",1.6418336,103.6192327
CU,CU Bandar Perda Bukit Mertajam,"456, Jln. Permatang Rawa, Bandar Perda, 14000 Bukit Mertajam, Pulau Pinang",5.3657112,100.4361575
CU,CU Bukit Jelutong,"G-36, komersial radia, Persiaran Tebar Layar, Bukit Jelutong, 40150 Shah Alam, Selangor",3.1020439,101.5364856
CU,CU Mart @ Uptown,"NO 47G, UPTOWN, 37, Jalan SS 21/37, Damansara Utama, 47800 Petaling Jaya, Selangor",3.1363523,101.6235003
CU,CU Permas Jaya,"1, Jln Permas 10, Bandar Baru Permas Jaya, 81750 Johor Bahru, Johor Darul Ta'zim",1.4965158,103.8151934
CU,CU Bandar Utama Batang Kali,"69, Jalan Ara 2, Pusat Perdagangan Ara, Seksyen 5 Bandar Utama Batang Kali, 44300 Batang Kali, Selangor",3.4546564,101.6624728
CU,CU Bandar Manjalara Kepong,"Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1951278,101.6310524
CU,CU Taiping,"No.6 Commersial Centre (TTCC off, Jalan Pekeliling, Taman Tasik Taiping, 34000 Taiping, Perak",4.8528299,100.7457337
CU,CU Bukit Dahlia,"28, Jalan Serangkai 18, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor Darul Ta'zim",1.478562,103.8938711
CU,CU Pavilion Bukit Jalil,"No.1.37, Level 1, Pavilion, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.0507085,101.6707302
CU,CU Centrepoint Seremban,"33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan",2.7231234,101.9554265
CU,"CU Seksyen 13, Shah Alam","Seksyen 13, 40100 Shah Alam, Selangor",3.0757992,101.5518776
CU,CU Solaria Square,"G-7, SOLARIA SQUARE, Jalan Tun Dr Awang, Kampung Perlis, 11900 Bayan Lepas, Penang",5.300138899999999,100.2661972
CU,CU Bandar Baru Selayang,"67, Jalan 2/16, Dataran Templer, 68100 Batu Caves, Selangor",3.2564554,101.6561856
CU,CU UTP,"Pocket C, Universiti Teknologi PETRONAS, Persiaran UTP, 32610 Seri Iskandar, Perak",4.3827178,100.9642581
CU,"CU Mart 5070, Avenue K","C3B, Avenue K, Jln Ampang, 50450 Kuala Lumpur",3.1594766,101.7135149
CU,CU UUM Sintok,"Sintok, Bangunan, Varsity Mall, 06010 Universiti Utara Malaysia, Kedah",6.4626825,100.5016915
CU,CU Mart Subang Bestari,"19, Jalan Nova U5/N, Subang Bestari, 40150 Shah Alam, Selangor",3.1782279,101.5479639
CU,CU Mart,"33-G, Jalan Terminal 5, 81400 Senai, Johor",1.6354875,103.6632696
CU,CU Larkin Jaya,"PTB NO. 24500, Jln Geroda 2/1, Larkin Jaya, 80350 Johor Bahru, Johor",1.4955136,103.741247
CU,CU TTDI,"11, Jalan Tun Mohd Fuad, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1416607,101.6284513
CU,CU Butterworth Business City Centre,"NO. 22 (GF, BUTTERWORTH BUSINESS CITY CTR, Jalan Raja Uda, Kampung Baharu, 12300 Butterworth, Penang",5.415124899999999,100.3818307
